"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0076759","Sat Feb 11 13:46:04 2012","Sat Feb 11 13:46:04 2012","","Star Wars","Feature Film","George Lucas","8.7","121","1977","action, adventure, fantasy, sci_fi","737904","1977-05-25","http://www.imdb.com/title/tt0076759/"
"2","tt0083658","Sat Feb 11 13:59:17 2012","Sat Feb 11 13:59:17 2012","","Blade Runner","Feature Film","Ridley Scott","8.2","117","1982","sci_fi, thriller","401115","1982-06-25","http://www.imdb.com/title/tt0083658/"
"3","tt0080684","Sat Feb 11 13:46:25 2012","Sat Feb 11 13:46:25 2012","","Star Wars: Episode V - The Empire Strikes Back","Feature Film","Irvin Kershner","8.8","124","1980","action, adventure, fantasy, sci_fi","668844","1980-05-17","http://www.imdb.com/title/tt0080684/"
"4","tt0086190","Sat Feb 11 13:46:41 2012","Sat Feb 11 13:46:41 2012","","Star Wars: Episode VI - Return of the Jedi","Feature Film","Richard Marquand","8.4","134","1983","action, adventure, fantasy, sci_fi","530964","1983-05-25","http://www.imdb.com/title/tt0086190/"
"5","tt0133093","Mon Feb 13 15:19:07 2012","Mon Feb 13 15:19:07 2012","","The Matrix","Feature Film","The Wachowski Brothers, The Wachowski Brothers","8.7","136","1999","action, sci_fi","1022686","1999-03-31","http://www.imdb.com/title/tt0133093/"
"6","tt0063442","Sat Feb 11 14:15:23 2012","Sat Feb 11 14:15:23 2012","","Planet of the Apes","Feature Film","Franklin J. Schaffner","8.0","112","1968","adventure, mystery, sci_fi","125264","1968-02-08","http://www.imdb.com/title/tt0063442/"
"7","tt0120915","Sat Feb 11 13:47:10 2012","Sat Feb 11 13:47:10 2012","","Star Wars: Episode I - The Phantom Menace","Feature Film","George Lucas","6.6","136","1999","action, adventure, fantasy, sci_fi","431405","1999-05-19","http://www.imdb.com/title/tt0120915/"
"8","tt0121765","Sat Feb 11 13:47:27 2012","Sat Feb 11 13:47:27 2012","","Star Wars: Episode II - Attack of the Clones","Feature Film","George Lucas","6.8","142","2002","action, adventure, fantasy, sci_fi","369607","2002-05-16","http://www.imdb.com/title/tt0121765/"
"9","tt0121766","Sat Feb 11 13:47:42 2012","Sat Feb 11 13:47:42 2012","","Star Wars: Episode III - Revenge of the Sith","Feature Film","George Lucas","7.7","140","2005","action, adventure, fantasy, sci_fi","418242","2005-05-15","http://www.imdb.com/title/tt0121766/"
"10","tt0084726","Sat Feb 11 14:03:41 2012","Sat Feb 11 14:03:41 2012","","Star Trek II: The Wrath of Khan","Feature Film","Nicholas Meyer","7.7","113","1982","action, adventure, drama, sci_fi, thriller","83059","1982-06-04","http://www.imdb.com/title/tt0084726/"
"11","tt0084827","Sat Feb 11 13:48:09 2012","Sat Feb 11 13:48:09 2012","","TRON","Feature Film","Steven Lisberger","6.8","96","1982","action, adventure, sci_fi","86528","1982-07-09","http://www.imdb.com/title/tt0084827/"
"12","tt0468569","Sat Feb 11 14:09:23 2012","Sat Feb 11 14:09:23 2012","","The Dark Knight","Feature Film","Christopher Nolan","9.0","152","2008","action, crime, drama","1404124","2008-07-14","http://www.imdb.com/title/tt0468569/"
"13","tt0118929","Sat Feb 11 13:59:01 2012","Sat Feb 11 13:59:01 2012","","Dark City","Feature Film","Alex Proyas","7.8","100","1998","mystery, sci_fi","141341","1998-02-27","http://www.imdb.com/title/tt0118929/"
"14","tt1104001","Sat Feb 11 13:48:23 2012","Sat Feb 11 13:48:23 2012","","TRON: Legacy","Feature Film","Joseph Kosinski","6.8","125","2010","action, adventure, sci_fi","238875","2010-11-30","http://www.imdb.com/title/tt1104001/"
"15","tt0087332","Sat Feb 11 13:48:38 2012","Sat Feb 11 13:48:38 2012","","Ghostbusters","Feature Film","Ivan Reitman","7.8","105","1984","comedy, fantasy","228829","1984-06-07","http://www.imdb.com/title/tt0087332/"
"16","tt0017136","Mon Feb 13 15:14:24 2012","Mon Feb 13 15:14:24 2012","","Metropolis","Feature Film","Fritz Lang","8.3","153","1927","drama, sci_fi","94943","1927-01-10","http://www.imdb.com/title/tt0017136/"
"17","tt0097428","Sat Feb 11 13:48:52 2012","Sat Feb 11 13:48:52 2012","","Ghostbusters II","Feature Film","Ivan Reitman","6.5","108","1989","comedy, fantasy, horror, sci_fi, thriller","117913","1989-06-16","http://www.imdb.com/title/tt0097428/"
"18","tt0082971","Sat Feb 11 13:56:10 2012","Sat Feb 11 13:56:10 2012","","Raiders of the Lost Ark","Feature Film","Steven Spielberg","8.6","115","1981","action, adventure","560121","1981-06-12","http://www.imdb.com/title/tt0082971/"
"19","tt0087469","Sat Feb 11 13:56:26 2012","Sat Feb 11 13:56:26 2012","","Indiana Jones and the Temple of Doom","Feature Film","Steven Spielberg","7.6","118","1984","action, adventure","274799","1984-05-23","http://www.imdb.com/title/tt0087469/"
"20","tt0097576","Sat Feb 11 13:56:52 2012","Sat Feb 11 13:56:52 2012","","Indiana Jones and the Last Crusade","Feature Film","Steven Spielberg","8.3","127","1989","action, adventure","432854","1989-05-24","http://www.imdb.com/title/tt0097576/"
"21","tt0075860","Sat Feb 11 13:49:09 2012","Sat Feb 11 13:49:09 2012","","Close Encounters of the Third Kind","Feature Film","Steven Spielberg","7.7","137","1977","drama, sci_fi","123215","1977-11-15","http://www.imdb.com/title/tt0075860/"
"22","tt0088323","Sat Feb 11 13:58:16 2012","Sat Feb 11 13:58:16 2012","","The NeverEnding Story","Feature Film","Wolfgang Petersen","7.4","102","1984","adventure, drama, family, fantasy","86429","1984-04-06","http://www.imdb.com/title/tt0088323/"
"23","tt0078748","Sat Feb 11 13:49:25 2012","Sat Feb 11 13:49:25 2012","","Alien","Feature Film","Ridley Scott","8.5","117","1979","horror, sci_fi","473723","1979-05-25","http://www.imdb.com/title/tt0078748/"
"24","tt0090605","Sat Feb 11 13:49:51 2012","Sat Feb 11 13:49:51 2012","","Aliens","Feature Film","James Cameron","8.4","137","1986","action, adventure, sci_fi, thriller","418200","1986-07-18","http://www.imdb.com/title/tt0090605/"
"25","tt0103644","Sat Feb 11 13:50:14 2012","Sat Feb 11 13:50:14 2012","","Alien³","Feature Film","David Fincher","6.4","114","1992","horror, sci_fi, thriller","178516","1992-05-22","http://www.imdb.com/title/tt0103644/"
"26","tt0118583","Sat Feb 11 13:50:54 2012","Sat Feb 11 13:50:54 2012","","Alien: Resurrection","Feature Film","Jean-Pierre Jeunet","6.3","109","1997","action, sci_fi, thriller","146944","1997-11-06","http://www.imdb.com/title/tt0118583/"
"27","tt1318514","Sat Feb 11 14:18:13 2012","Sat Feb 11 14:18:13 2012","","Rise of the Planet of the Apes","Feature Film","Rupert Wyatt","7.6","105","2011","action, drama, sci_fi, thriller","352766","2011-08-03","http://www.imdb.com/title/tt1318514/"
"28","tt0259324","Sat Feb 11 14:10:28 2012","Sat Feb 11 14:10:28 2012","","Ghost Rider","Feature Film","Mark Steven Johnson","5.2","114","2007","action, fantasy, horror, thriller","161382","2007-01-15","http://www.imdb.com/title/tt0259324/"
"29","tt0457430","Sat Feb 11 14:01:42 2012","Sat Feb 11 14:01:42 2012","","Pan's Labyrinth","Feature Film","Guillermo del Toro","8.3","118","2006","drama, fantasy, war","400172","2006-05-27","http://www.imdb.com/title/tt0457430/"
"30","tt0087182","Sat Feb 11 14:14:51 2012","Sat Feb 11 14:14:51 2012","","Dune","Feature Film","David Lynch","6.6","137","1984","action, adventure, sci_fi","89287","1984-12-14","http://www.imdb.com/title/tt0087182/"
"31","tt0093773","Sat Feb 11 13:51:11 2012","Sat Feb 11 13:51:11 2012","","Predator","Feature Film","John McTiernan","7.8","107","1987","action, sci_fi, thriller","256913","1987-06-12","http://www.imdb.com/title/tt0093773/"
"32","tt0100403","Sat Feb 11 13:51:37 2012","Sat Feb 11 13:51:37 2012","","Predator 2","Feature Film","Stephen Hopkins","6.2","108","1990","action, sci_fi, thriller","87784","1990-11-19","http://www.imdb.com/title/tt0100403/"
"33","tt0093779","Sat Feb 11 13:57:40 2012","Sat Feb 11 13:57:40 2012","","The Princess Bride","Feature Film","Rob Reiner","8.2","98","1987","adventure, comedy, family, fantasy, romance","255054","1987-09-18","http://www.imdb.com/title/tt0093779/"
"34","tt0372784","Sat Feb 11 14:09:05 2012","Sat Feb 11 14:09:05 2012","","Batman Begins","Feature Film","Christopher Nolan","8.3","140","2005","action, adventure","806046","2005-06-10","http://www.imdb.com/title/tt0372784/"
"35","tt0120737","Sat Feb 11 14:13:04 2012","Sat Feb 11 14:13:04 2012","","The Lord of the Rings: The Fellowship of the Ring","Feature Film","Peter Jackson","8.8","178","2001","adventure, fantasy","1052571","2001-12-10","http://www.imdb.com/title/tt0120737/"
"36","tt0094625","Sat Feb 11 14:10:35 2012","Sat Feb 11 14:10:35 2012","","Akira","Feature Film","Katsuhiro Otomo","8.1","124","1988","animation, action, sci_fi","87286","1988-07-16","http://www.imdb.com/title/tt0094625/"
